Source.Category.Code,Source.category.name,Source.subcategory,Source.subcategory.name,Agency.code,Agency.name,Bureau.code,Bureau.name,Account.code,Account.name,Treasury.Agency.code,On..or.off.budget,FY,amount
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,901,Governmental Receipts,15,Other Retirement Contributions,810000,"Employees retirement, employee contributions",99,On-budget,1962,862583
934,Excise Taxes,00,Excise Taxes,024,Department of Homeland Security,00,Department of Homeland Security,814710,"Excise Taxes, Boat Safety, Aquatic Resources Trust Fund",70,On-budget,1962,0
934,Excise Taxes,00,Excise Taxes,024,Department of Homeland Security,00,Department of Homeland Security,814720,"Excise Taxes, Sport Fish Restoration, Aquatic Resources Trust Fund",70,On-budget,1962,0
934,Excise Taxes,00,Excise Taxes,024,Department of Homeland Security,00,Department of Homeland Security,818510,"Excise Taxes, Oil Spill Liability Trust Fund",20,On-budget,1962,0
934,Excise Taxes,00,Excise Taxes,024,Department of Homeland Security,00,Department of Homeland Security,818550,Transfer from the Trans-Alaska Pipeline Liability Fund,70,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,010,Department of the Interior,00,Department of the Interior,502930,"Excise Taxes, Federal Aid to Wildlife Restoration Fund",14,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,015,Department of the Treasury,00,Department of the Treasury,309200,Recovery from Highway Trust Fund for Refunds of Taxes,20,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,015,Department of the Treasury,00,Department of the Treasury,309400,Recovery from Airport and Airway Trust Fund for Refunds of Taxes,20,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,015,Department of the Treasury,00,Department of the Treasury,309500,"Recovery from Leaking Underground Storage Tank Trust Fund for Refunds of Taxes, EPA",20,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,015,Department of the Treasury,00,Department of the Treasury,500530,"Land and Water Conservation Fund, Motorboat Fuels Tax",20,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,015,Department of the Treasury,00,Department of the Treasury,502930,"Excise Taxes, Federal Aid to Wildlife Restoration Fund, Interior",20,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,015,Department of the Treasury,00,Department of the Treasury,513800,"Tax on Fishing Rods, Creels, Reels, Artificial Lures, Baits and Flies",20,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,015,Department of the Treasury,00,Department of the Treasury,573710,"Deposits, Internal Revenue Collections for Puerto Rico",20,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,021,Department of Transportation,00,Department of Transportation,542210,"Aviation User Fees, Overflight Fees",69,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,021,Department of Transportation,00,Department of Transportation,542240,"Aviation User Fees, Overflight Fees",69,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015250,Other Federal Fund Excise Taxes,99,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015256,Other Federal Fund exise taxes,99,On-budget,1962,4295084
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015400,Windfall profit tax,99,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015500,Tobacco Excise Tax,99,On-budget,1962,2022138
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015600,Alcohol Excise Tax,99,On-budget,1962,3268218
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015700,Telephone Excise Tax,99,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015800,Transportation Fuels Tax,20,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015911,Excise Tax on High Cost Employer-Sponsored Plans,99,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015913,Fee on Health Insurance Providers,99,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015914,Tax on Indoor Tanning Services,99,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,015915,Excise Tax on Medical Device Manufacturers,99,On-budget,1962,0
934,Excise Taxes,05,Federal Fund Excise Taxes,901,Governmental Receipts,00,Governmental Receipts,089400,Ozone Depleting Chemicals Tax,99,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,005,Department of Agriculture,00,Department of Agriculture,816110,"Excise Taxes for Tobacco Assessments, Tobacco Trust Fund",12,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,009,Department of Health and Human Services,00,Department of Health and Human Services,800408,"Fee on Branded Prescription Pharmaceutical Manufacturers and Importers, SMI",75,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,009,Department of Health and Human Services,00,Department of Health and Human Services,817510,"Deposits, Vaccine Injury Compensation Trust Fund",75,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,012,Department of Labor,00,Department of Labor,814410,"Transfer from General Fund, Black Lung Benefits Revenue Act Taxes",16,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,020,Environmental Protection Agency,00,Environmental Protection Agency,814510,"Excise Taxes, Hazardous Substance Superfund",68,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,020,Environmental Protection Agency,00,Environmental Protection Agency,814610,"Post-closure liability trust fund, Transfer from General fund",68,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,020,Environmental Protection Agency,00,Environmental Protection Agency,815310,"Transfer from the General Fund Amounts Equivalent to Taxes, Leaking Underground Storage Tank Trust Fund",68,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,021,Department of Transportation,00,Department of Transportation,810210,"Transportation Trust Fund, Deposits (Highway Account)",69,On-budget,1962,2948690
934,Excise Taxes,10,Trust Fund Excise Taxes,021,Department of Transportation,00,Department of Transportation,810211,"Transportation Trust Fund, Deposits (Mass Transit Account)",69,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,021,Department of Transportation,00,Department of Transportation,810310,"Excise Taxes, Airport and Airway Trust Fund",69,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,202,Corps of Engineers--Civil Works,00,Corps of Engineers--Civil Works,886110,"Transfer from General Fund, Inland Waterways Revenue Act Taxes",96,On-budget,1962,0
934,Excise Taxes,10,Trust Fund Excise Taxes,579,Patient-Centered Outcomes Research Trust Fund,00,Patient-Centered Outcomes Research Trust Fund,829910,"Fees on Health Insurance and Self-insured Health Plans, PCORTF",95,On-budget,1962,0
935,Estate and Gift Taxes,00,Estate and Gift Taxes,901,Governmental Receipts,00,Governmental Receipts,015300,Estate and Gift Taxes,99,On-budget,1962,2016370
936,Customs Duties,00,Custom Duties and Fees,005,Department of Agriculture,00,Department of Agriculture,520910,"30 Percent of Customs Duties, Funds for Strengthening Markets, Income and Supply (section 32)",12,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,005,Department of Agriculture,00,Department of Agriculture,553110,"3.08 Percent of Customs Duties, Agricultural Disaster Relief Fund",12,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,005,Department of Agriculture,00,Department of Agriculture,804610,"Transfers from General Fund of Amounts Equal to Certain Customs Duties, Reforestation Trust Fund",12,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,010,Department of the Interior,00,Department of the Interior,513720,Custom Duties on Arms and Ammunition,14,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,015,Department of the Treasury,00,Department of the Treasury,083100,Customs user fee account,20,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,015,Department of the Treasury,00,Department of the Treasury,520910,"30 Percent of Customs Duties, Funds for Strengthening Markets, Income and Supply (section 32]",20,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,015,Department of the Treasury,00,Department of the Treasury,521000,"70% Customs Duties on Wool, Reimbursement for Costs of National Wool Act",20,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,024,Department of Homeland Security,00,Department of Homeland Security,553310,Wool Manufacturers Trust Fund,70,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,024,Department of Homeland Security,00,Department of Homeland Security,554410,"Transfers from the General Fund of Amounts Equal to Certain Customs Duties, Pima Cotton Trust Fund",70,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,024,Department of Homeland Security,00,Department of Homeland Security,814750,"Customs Duties, Aquatic Resources Trust Fund",70,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,202,Corps of Engineers--Civil Works,00,Corps of Engineers--Civil Works,886310,"User Fees, Harbor Maintenance Trust Fund",96,On-budget,1962,0
936,Customs Duties,00,Custom Duties and Fees,901,Governmental Receipts,00,Governmental Receipts,031000,Other Federal Fund Customs Duties,70,On-budget,1962,1141887
936,Customs Duties,00,Custom Duties and Fees,901,Governmental Receipts,00,Governmental Receipts,031050,Other Federal Fund Customs Duties,99,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,001,Legislative Branch,25,Library of Congress,517510,"Fees from Jukebox, Satellite and Cable Television for Operating Costs, Copyright Office",03,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,001,Legislative Branch,40,United States Tax Court,502310,"Fees for Independent Counsel, Tax Court Independent Counsel, U.S. Tax Court",23,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,002,Judicial Branch,00,Judicial Branch,504000,Referees' Salary and Expense Fund,10,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,002,Judicial Branch,00,Judicial Branch,510010,"Filing Fees, U.S. Courts, Judiciary",10,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,002,Judicial Branch,00,Judicial Branch,510110,"Fees, Registry Administration, Judiciary",10,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,005,Department of Agriculture,00,Department of Agriculture,507010,"License Fees and Defaults, Perishable Agricultural Commodities Act Fund",12,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,005,Department of Agriculture,00,Department of Agriculture,516110,"1990 Food, Agricultural Quarantine Inspection Fees",12,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,006,Department of Commerce,00,Department of Commerce,510210,"Fees, North Pacific Fisher Observer Fund",13,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,006,Department of Commerce,00,Department of Commerce,511910,"Fees, Fishing Vessel and Gear Damage Compensation Fund",13,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,006,Department of Commerce,00,Department of Commerce,512010,"Fees, Fishermen's Contingency Fund",13,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,006,Department of Commerce,00,Department of Commerce,512210,"Fees, Foreign Fishing Observer's Fund",13,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,006,Department of Commerce,00,Department of Commerce,528410,"Permit Title Registration Fees, Limited Access System Administration Fund",13,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,006,Department of Commerce,00,Department of Commerce,543910,"Access Fees, Western Pacific Sustainable Fisheries Fund",13,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,006,Department of Commerce,00,Department of Commerce,559810,"Fees, North Pacific Fishery Observer Fund",13,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,007,Department of Defense--Military Programs,00,Department of Defense--Military Programs,010921,"Federal tax withheld from payments to non-resident aliens, Army",21,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,007,Department of Defense--Military Programs,00,Department of Defense--Military Programs,010957,"Federal tax withheld from payments to non-resident aliens, Air Force",57,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,007,Department of Defense--Military Programs,00,Department of Defense--Military Programs,019917,"Miscellaneous taxes, not otherwise classified, Navy",17,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,007,Department of Defense--Military Programs,00,Department of Defense--Military Programs,833700,"Contributions, Host National Support for U.S. Relocation Activities",97,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,007,Department of Defense--Military Programs,00,Department of Defense--Military Programs,835810,"Contributions from Japan, Support for U.S. Relocation to Guam Activities",97,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,009,Department of Health and Human Services,00,Department of Health and Human Services,010900,Federal tax withheld from payments to non-resident aliens,75,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,009,Department of Health and Human Services,00,Department of Health and Human Services,573310,"Receipts, Risk Adjustment Program",75,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,009,Department of Health and Human Services,00,Department of Health and Human Services,573410,"Deposits, Collections for Child Support",75,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,009,Department of Health and Human Services,00,Department of Health and Human Services,573510,"Contributions, Transitional Reinsurance Program",75,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,009,Department of Health and Human Services,00,Department of Health and Human Services,800549,"FHI Trust Fund, Civil Penalties and Damages",75,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,010,Department of the Interior,00,Department of the Interior,501510,Coal mining reclamation fees,14,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,010,Department of the Interior,00,Department of the Interior,501560,"Abandoned Mine Reclamation Fund, Reclamation Fees",14,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,010,Department of the Interior,00,Department of the Interior,506310,"Civil Penalties, Office of Surface Mining Reclamation and Enforcement",14,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,010,Department of the Interior,00,Department of the Interior,511110,Hardrock Reclamation Fees,14,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,010,Department of the Interior,00,Department of the Interior,513700,Migratory bird hunting stamps,14,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,010,Department of the Interior,00,Department of the Interior,513710,Migratory Bird Hunting Stamps,14,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,010,Department of the Interior,00,Department of the Interior,514110,"National Indian Gaming Commission, Gaming Activity Fees",14,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,010,Department of the Interior,00,Department of the Interior,524100,"Fines, Penalties, and Forfeitures from Migratory Bird Treaty Act, North American Wetlands Conservation Fund",14,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,010,Department of the Interior,00,Department of the Interior,836531,"Indian Tribal Funds, Fines, Penalties, and Forfeitures, (including George C. Edgeter, Contributions for Advancement)",14,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,011,Department of Justice,00,Department of Justice,083400,Breached bond penalties,15,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,011,Department of Justice,00,Department of Justice,085400,"Registration Fees, DEA",15,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,011,Department of Justice,00,Department of Justice,104000,"Fines, Penalties, and Forfeitures, Customs, Commerce, and Antitrust Laws",15,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,011,Department of Justice,00,Department of Justice,504110,"Fines, Penalties, and Forfeitures, Crime Victims Fund",15,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,011,Department of Justice,00,Department of Justice,504210,"Forfeited Cash and Proceeds from the Sale of Forfeited Property, Assets Forfeiture Fund",15,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,011,Department of Justice,00,Department of Justice,507310,"Fees for bankruptcy oversight, U.S. trustees system",15,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,011,Department of Justice,00,Department of Justice,508610,"Immigration Legalization, Justice",15,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,011,Department of Justice,00,Department of Justice,508700,"Immigration User Fee, Justice (Governmental Receipt)",15,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,011,Department of Justice,00,Department of Justice,508800,"Immigration examinations fee, TCJ (Governmental Reciept)",15,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,012,Department of Labor,00,Department of Labor,813010,"Longshoremen's and Harbor Workers Compensation Act, Receipts, Special Workers'",16,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,012,Department of Labor,00,Department of Labor,813410,"Workmen's Compensation Act within District of Columbia, Receipts, Special Workers'",16,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,014,Department of State,00,Department of State,083000,"Immigration, Passport, and Consular Fees",20,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,015,Department of the Treasury,00,Department of the Treasury,010900,Federal tax withheld from payments to non-resident aliens,20,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,015,Department of the Treasury,00,Department of the Treasury,019900,"Miscellaneous Taxes, not Otherwise Classified",20,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,015,Department of the Treasury,00,Department of the Treasury,040100,"Proceeds from Exercise of Warrants, Air Transportation Stabilization Board",20,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,015,Department of the Treasury,00,Department of the Treasury,040110,"Proceeds from Exercise of Warrants, Air Transportation Stabilization Board",20,On-budget,1962,0
937,Misc. Governmental Receipts,00,Misc. Governmental Receipts,015,Department of the Treasury,00,Department of the Treasury,065000,"Deposit of Earnings, Federal Reserve System",20,On-budget,1962,0
